published_date,title,author,rank,weeks_on_list
2025-05-25,THE MISSING HALF,Ashley Flowers with Alex Kiester,7,1
2025-05-25,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,8,5
2025-05-25,25 ALIVE,James Patterson and Maxine Paetro,9,2
2025-05-25,ONYX STORM,Rebecca Yarros,10,16
2025-05-25,KING OF ENVY,Ana Huang,11,2
2025-05-25,FOURTH WING,Rebecca Yarros,12,94
2025-05-25,THE HOUSEMAID,Freida McFadden,13,95
2025-05-25,STRANGERS IN TIME,David Baldacci,14,4
2025-05-25,THUNDER GAME,Christine Feehan,15,1
2025-06-01,A CURSE CARVED IN BONE,Danielle L. Jensen,1,1
2025-06-01,THE TENANT,Freida McFadden,2,2
2025-06-01,THE EMPEROR OF GLADNESS,Ocean Vuong,3,1
2025-06-01,GREAT BIG BEAUTIFUL LIFE,Emily Henry,4,4
2025-06-01,CAN'T GET ENOUGH,Kennedy Ryan,5,1
2025-06-01,ONE GOLDEN SUMMER,Carley Fortune,6,2
2025-06-01,THE DEVILS,Joe Abercrombie,7,1
2025-06-01,FEVER BEACH,Carl Hiaasen,8,1
2025-06-01,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,9,6
2025-06-01,SHIELD OF SPARROWS,Devney Perry,10,2
2025-06-01,MY FRIENDS,Fredrik Backman,11,2
2025-06-01,ONYX STORM,Rebecca Yarros,12,17
2025-06-01,MARBLE HALL MURDERS,Anthony Horowitz,13,1
2025-06-01,FOURTH WING,Rebecca Yarros,14,95
2025-06-01,I HOPE YOU REMEMBER,Josie Balka,15,1
2025-06-08,NIGHTSHADE,Michael Connelly,1,1
2025-06-08,THE KNIGHT AND THE MOTH,Rachel Gillig,2,1
2025-06-08,IRON FLAME,Rebecca Yarros,3,65
2025-06-08,THE TENANT,Freida McFadden,4,3
2025-06-08,REWIND IT BACK,Liz Tomforde,5,1
2025-06-08,ONE GOLDEN SUMMER,Carley Fortune,6,3
2025-06-08,GREAT BIG BEAUTIFUL LIFE,Emily Henry,7,5
2025-06-08,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,8,7
2025-06-08,THE EMPEROR OF GLADNESS,Ocean Vuong,9,2
2025-06-08,MY FRIENDS,Fredrik Backman,10,3
2025-06-08,TOM CLANCY: LINE OF DEMARCATION,M.P. Woodward,11,1
2025-06-08,LIGHTS OUT,Navessa Allen,12,16
2025-06-08,ONYX STORM,Rebecca Yarros,13,18
2025-06-08,SHIELD OF SPARROWS,Devney Perry,14,3
2025-06-08,THE LOVE HATERS,Katherine Center,15,1
2025-06-15,NEVER FLINCH,Stephen King,1,1
2025-06-15,HIDDEN NATURE,Nora Roberts,2,1
2025-06-15,PROBLEMATIC SUMMER ROMANCE,Ali Hazelwood,3,1
2025-06-15,RELEASING 10,Chloe Walsh,4,1
2025-06-15,NIGHTSHADE,Michael Connelly,5,2
2025-06-15,GREAT BIG BEAUTIFUL LIFE,Emily Henry,6,6
2025-06-15,ONE GOLDEN SUMMER,Carley Fortune,7,4
2025-06-15,THE TENANT,Freida McFadden,8,4
2025-06-15,BEAUTIFUL VENOM,Rina Kent,9,1
2025-06-15,IRON FLAME,Rebecca Yarros,10,66
2025-06-15,THE KNIGHT AND THE MOTH,Rachel Gillig,11,2
2025-06-15,RETURN TO SENDER,Craig Johnson,12,1
2025-06-15,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,13,8
2025-06-15,MY FRIENDS,Fredrik Backman,14,4
2025-06-15,ONYX STORM,Rebecca Yarros,15,19
2025-06-22,ATMOSPHERE,Taylor Jenkins Reid,1,1
2025-06-22,THE FIRST GENTLEMAN,Bill Clinton and James Patterson,2,1
2025-06-22,NEVER FLINCH,Stephen King,3,2
2025-06-22,PROBLEMATIC SUMMER ROMANCE,Ali Hazelwood,4,2
2025-06-22,ONE GOLDEN SUMMER,Carley Fortune,5,5
2025-06-22,BADLANDS,Douglas Preston and Lincoln Child,6,1
2025-06-22,THE TENANT,Freida McFadden,7,5
2025-06-22,GREAT BIG BEAUTIFUL LIFE,Emily Henry,8,7
2025-06-22,TILL SUMMER DO US PART,Meghan Quinn,9,1
2025-06-22,NIGHTSHADE,Michael Connelly,10,3
2025-06-22,HIDDEN NATURE,Nora Roberts,11,2
2025-06-22,IRON FLAME,Rebecca Yarros,12,67
2025-06-22,MY FRIENDS,Fredrik Backman,13,5
2025-06-22,ONYX STORM,Rebecca Yarros,14,20
2025-06-22,IT TAKES A PSYCHIC,Jayne Castle,15,1
2025-06-29,CAUGHT UP,Navessa Allen,1,1
2025-06-29,BURY OUR BONES IN THE MIDNIGHT SOIL,V.E. Schwab,2,1
2025-06-29,ATMOSPHERE,Taylor Jenkins Reid,3,2
2025-06-29,THE FIRST GENTLEMAN,Bill Clinton and James Patterson,4,2
2025-06-29,ONE GOLDEN SUMMER,Carley Fortune,5,6
2025-06-29,NEVER FLINCH,Stephen King,6,3
2025-06-29,HOUSE OF FLAME AND SHADOW,Sarah J. Maas,7,6
2025-06-29,THE RIVER IS WAITING,Wally Lamb,8,1
2025-06-29,THE TENANT,Freida McFadden,9,6
2025-06-29,WITH A VENGEANCE,Riley Sager,10,1
2025-06-29,PROBLEMATIC SUMMER ROMANCE,Ali Hazelwood,11,3
2025-06-29,GREAT BIG BEAUTIFUL LIFE,Emily Henry,12,8
2025-06-29,NIGHTSHADE,Michael Connelly,13,4
2025-06-29,LIGHTS OUT,Navessa Allen,14,17
2025-06-29,KING OF ASHES,S.A. Cosby,15,1
2025-07-06,ATMOSPHERE,Taylor Jenkins Reid,1,3
2025-07-06,CAUGHT UP,Navessa Allen,2,2
2025-07-06,ONE GOLDEN SUMMER,Carley Fortune,3,7
2025-07-06,THE FIRST GENTLEMAN,Bill Clinton and James Patterson,4,3
2025-07-06,THE TENANT,Freida McFadden,5,7
2025-07-06,BURY OUR BONES IN THE MIDNIGHT SOIL,V.E. Schwab,6,2
2025-07-06,NEVER FLINCH,Stephen King,7,4
2025-07-06,GREAT BIG BEAUTIFUL LIFE,Emily Henry,8,9
2025-07-06,PROBLEMATIC SUMMER ROMANCE,Ali Hazelwood,9,4
2025-07-06,THE ROBIN ON THE OAK THRONE,K.A. Linde,10,1
